Gene,Sample,IP2IN
LOC4802218,Hm_H3K9me2,1.42921
LOC4802218,Tm_H3K9me2,0.935712
LOC4802218,Hm_H4K20me3,1.48848
LOC6900296,Tm_H4K16AC,3.24601
LOC6900296,Hm_H4K16AC,9.22788
LOC6900296,Tm_H4K20me3,1.23181
LOC6900296,Tm_H3K9me2,0.911233
LOC6900296,Hm_H4K20me3,0.847007
LOC6900296,Hm_H3K9me2,0.957319
LOC4813012,Hm_H4K20me3,1.53811
LOC4813012,Tm_H3K9me2,1.44398
LOC4813012,Hm_H4K16AC,1.76117
LOC4813012,Hm_H3K9me2,1.25263
LOC4813012,Tm_H4K16AC,1.66081
LOC4813012,Tm_H4K20me3,1.2728
LOC4815306,Tm_H4K20me3,0.796465
LOC4815306,Hm_H4K16AC,1.65743
LOC4815306,Tm_H4K16AC,2.30907
LOC4815306,Tm_H3K9me2,0.947016
LOC4815306,Hm_H4K20me3,0.820778
LOC4815306,Hm_H3K9me2,0.536492
LOC4817695,Hm_H3K9me2,1.40817
LOC4817695,Tm_H4K16AC,0.969336
LOC4817695,Tm_H4K20me3,1.84089
LOC4817695,Hm_H4K20me3,1.26318
LOC4817695,Hm_H4K16AC,1.6978
LOC4817695,Tm_H3K9me2,1.43319
LOC4817332,Hm_H3K9me2,0.771855
LOC4817332,Tm_H4K20me3,1.06387
LOC4817332,Tm_H4K16AC,1.02644
LOC4817332,Tm_H3K9me2,0.83129
LOC4817332,Hm_H4K16AC,1.35173
LOC4817332,Hm_H4K20me3,0.687516
LOC26533386,Hm_H4K16AC,0.383447
LOC26533386,Hm_H4K20me3,0.729482
LOC26533386,Tm_H3K9me2,0.75463
LOC26533386,Tm_H4K16AC,0.837952
LOC26533386,Hm_H3K9me2,0.758917
LOC26533386,Tm_H4K20me3,0.564279
LOC6901056,Tm_H4K16AC,1.27663
LOC6901056,Tm_H3K9me2,1.40798
LOC6901056,Hm_H4K16AC,4.271
LOC6901056,Hm_H3K9me2,0.894138
LOC6901056,Hm_H4K20me3,0.964126
LOC6901056,Tm_H4K20me3,2.7265
LOC4818100,Tm_H4K20me3,0.78848
LOC4818100,Tm_H4K16AC,1.3982
LOC4818100,Hm_H3K9me2,0.81987
LOC4818100,Hm_H4K20me3,0.729116
LOC4818100,Tm_H3K9me2,0.811835
LOC4818100,Hm_H4K16AC,0.737361
LOC6898495,Hm_H4K20me3,1.5321
LOC6898495,Hm_H3K9me2,1.48363
LOC6898495,Hm_H4K16AC,1.24466
LOC6898495,Tm_H4K20me3,1.25765
LOC6898495,Tm_H4K16AC,1.07631
LOC6898495,Tm_H3K9me2,1.06558
LOC6897644,Tm_H3K9me2,0.877987
LOC6897644,Hm_H4K16AC,1.2153
LOC6897644,Hm_H3K9me2,0.970817
LOC6897644,Hm_H4K20me3,0.893443
LOC6897644,Tm_H4K20me3,0.948241
LOC6897644,Tm_H4K16AC,1.01142
LOC6897006,Hm_H4K20me3,1.21246
LOC6897006,Hm_H4K16AC,0.57716
LOC6897006,Tm_H3K9me2,0.95099
LOC6897006,Tm_H4K16AC,0.937331
LOC6897006,Hm_H3K9me2,0.921997
LOC6897006,Tm_H4K20me3,0.879357
LOC6897401,Hm_H4K20me3,1.13983
LOC6897401,Tm_H4K20me3,1.01777
LOC6897401,Tm_H4K16AC,1.24757
LOC6897401,Tm_H3K9me2,0.635559
LOC6897401,Hm_H4K16AC,1.01126
LOC6897401,Hm_H3K9me2,1.05905
LOC4817779,Hm_H4K20me3,0.755707
LOC4817779,Hm_H4K16AC,0.503714
LOC4817779,Tm_H4K20me3,0.573126
LOC4817779,Tm_H3K9me2,0.779456
LOC4817779,Tm_H4K16AC,1.10166
LOC4817779,Hm_H3K9me2,0.937897
LOC4817103,Tm_H4K16AC,0.897255
LOC4817103,Tm_H4K20me3,1.25588
LOC4817103,Hm_H4K20me3,1.36145
LOC4817103,Tm_H3K9me2,0.770773
LOC4817103,Hm_H4K16AC,0.78956
LOC4817103,Hm_H3K9me2,1.0972
LOC6898181,Tm_H4K16AC,1.16336
LOC6898181,Hm_H3K9me2,0.799563
LOC6898181,Tm_H4K20me3,0.436963
LOC6898181,Hm_H4K16AC,0.560888
LOC6898181,Hm_H4K20me3,0.504739
LOC6898181,Tm_H3K9me2,0.700758
LOC6902849,Hm_H4K20me3,0.913413
LOC6902849,Hm_H4K16AC,0.863342
LOC6902849,Tm_H4K16AC,0.918792
LOC6902849,Tm_H3K9me2,1.00953
LOC6902849,Tm_H4K20me3,0.754678
LOC6902849,Hm_H3K9me2,0.912585
LOC4815130,Tm_H3K9me2,0.954586
LOC4815130,Hm_H4K16AC,3.07798
LOC4815130,Tm_H4K20me3,0.86511
LOC4815130,Tm_H4K16AC,3.36751
LOC4815130,Hm_H4K20me3,0.935338
LOC4815130,Hm_H3K9me2,0.797115
LOC6901386,Tm_H4K16AC,2.25178
LOC6901386,Hm_H4K16AC,1.54344
LOC6901386,Tm_H3K9me2,0.697775
LOC6901386,Hm_H4K20me3,0.589229
LOC6901386,Hm_H3K9me2,0.711621
LOC6901386,Tm_H4K20me3,0.593005
LOC4816148,Hm_H4K16AC,3.68876
LOC4816148,Tm_H4K20me3,1.709
LOC4816148,Hm_H4K20me3,1.42445
LOC4816148,Tm_H4K16AC,1.07807
LOC4816148,Tm_H3K9me2,1.55546
LOC4816148,Hm_H3K9me2,1.61709
LOC4813007,Hm_H3K9me2,0.821363
LOC4813007,Tm_H3K9me2,0.964863
LOC4813007,Hm_H4K20me3,0.760503
LOC4813007,Hm_H4K16AC,3.93254
LOC4813007,Tm_H4K16AC,2.79527
LOC4813007,Tm_H4K20me3,1.00435
LOC4817464,Hm_H4K16AC,0.953603
LOC4817464,Hm_H4K20me3,0.531589
LOC4817464,Hm_H3K9me2,0.803642
LOC4817464,Tm_H4K16AC,1.00128
LOC4817464,Tm_H4K20me3,0.627633
LOC4817464,Tm_H3K9me2,0.84147
LOC4800307,Tm_H4K16AC,1.26101
LOC4800307,Hm_H4K16AC,1.65502
