Gene,M_carcass_FPKM,M_testis_FPKM,Testis2carcass
LOC4802475,0.059964276,0.877508247,14.63362317
LOC6899617,0.014950787,7.226890181,483.3463154
LOC4814111,11.92443484,1.534686682,0.128701073
LOC6898303,1.258153557,0.056095836,0.044586602
LOC4812075,1.850408971,0.01879675,0.010158695
LOC13036441,3.705769203,4.655256883,1.256218715
LOC4812027,1.575165539,0.07356015,0.046700554
LOC4813424,4.790913048,2.691035115,0.561695762
LOC4804623,0.335576708,0.020015477,0.059647815
LOC4815908,3.371758596,2.521699272,0.747888513
LOC6902176,4.429537163,1.682815748,0.379907947
LOC4814539,31.1722524,3.476963611,0.111540368
LOC6896875,17.66827939,22.89770668,1.295978283
LOC4815773,13.71891876,4.231152378,0.308417387
LOC4815196,3.019762197,8.548668298,2.830907174
LOC4814536,22.86544264,2.978480983,0.130261281
LOC4818051,49.75415532,22.06726743,0.443526131
LOC4816622,55.88222198,125.7154918,2.249650892
LOC6902723,8.071924435,4.983129988,0.617341058
LOC4816396,0.286219952,0.023519662,0.082176591
LOC4816770,6.115792542,5.012053242,0.819526396
LOC4817989,40.71027916,58.98305044,1.448849067
LOC4817902,8.073601901,5.284620984,0.654555599
LOC4816405,0.965454294,0.323833679,0.335421724
LOC4816710,0,0,1
LOC4816314,5.481692363,15.45028245,2.818523844
LOC4816652,13.49225882,3.012956818,0.223310095
LOC4816734,237.798457,93.85671627,0.394690184
LOC6897404,5.000463859,11.31148309,2.262086508
LOC4816326,14.58832781,0.15770188,0.010810209
LOC4817737,0.53528433,0.217661849,0.40662958
LOC4817775,10.92808565,8.296495045,0.759190178
LOC4817778,32.38547919,19.40781726,0.599275297
LOC4817864,4.600413472,12.37848655,2.690733112
LOC4816961,59.73502516,28.21079245,0.472265524
LOC117184018,0.091477576,0.088974702,0.972639784
LOC4816573,1.256518822,0.341935987,0.272130197
LOC4811693,85.70353222,220.1224496,2.568417454
LOC4811692,23.63819768,353.4348783,14.95185331
LOC4816440,18.08628424,10.99190562,0.607748163
LOC4805197,31.01751723,9.948091481,0.320724966
LOC4817731,17.9470433,6.146330642,0.342470411
LOC6898514,38.24930937,104.7718291,2.739182199
LOC6900554,6.686097768,2.732532053,0.408688706
LOC4811853,7.581900238,5.542642525,0.731036102
LOC4812557,126.9602986,143.0542308,1.126763502
LOC6897851,7.519692134,0.4485402,0.05964887
LOC6897177,17.3938236,3.574852215,0.205524276
LOC6897462,15.55432019,26.64165891,1.712814052
LOC6900716,0.036289537,0.020916495,0.576389796
LOC4801241,4.5848944,3.222010025,0.702744718
LOC4813883,0.851633173,8.793554643,10.32550821
LOC26532169,25.80176145,41.86411902,1.622529472
LOC4802272,0.930432364,0.124422903,0.133726829
LOC4816481,24.04638682,9.484055213,0.394406689
LOC4818104,17.11872872,10.40269976,0.607679479
LOC4814167,4.576814681,0.565664338,0.123593646
LOC6898146,0.094528644,0,1.06E-05
LOC4803600,0,0,1
LOC6898147,0.05301251,0.043750733,0.82529402
LOC4803601,0,0,1
LOC4802018,0.897031726,2.596933368,2.895027453
LOC4817632,0.890974482,1.556591629,1.747065615
LOC4805042,5.069971241,3.770321373,0.7436574
LOC4815131,0,0,1
LOC6897260,0.059957087,0.052455711,0.874889666
LOC6902382,0.646283408,0.032615689,0.050468012
LOC6898899,140.4406428,1.312967853,0.009348924
LOC6902747,10.8564665,15.10903135,1.39170797
LOC4805183,42.37426782,22.00663117,0.519339514
LOC4803610,19.46726196,0.051858734,0.002663946
LOC6898150,1539.205877,1.621811743,0.001053668
LOC4812895,0.291543449,0,3.43E-06
Y-linked-gene.605,0,0,1
LOC6902248,0.929697981,0.021719025,0.023362427
LOC6901956,0.04694447,0.181842887,3.873512984
LOC4802213,27.56185233,0.151009775,0.005478978
LOC4814716,317.2533253,115.2695797,0.363336082
LOC4802212,1.132817889,0,8.83E-07
LOC4816929,748.378733,421.826697,0.563654042
LOC5384074,2.142590942,0.132067527,0.061639608
LOC4800421,345.3056054,100.6990317,0.29162293
LOC6899197,6.627608582,2.11529119,0.319163669
LOC4800249,589.7124041,256.8854142,0.435611347
LOC4802211,0,0.042890229,42891.229
LOC4802209,0,0,1
LOC4802208,0.08320019,0.144556222,1.737441766
LOC4802206,0.055770146,0,1.79E-05
LOC6897898,0.034413405,55.34525815,1608.2004
LOC4812548,4.804444647,8.100456533,1.686033755
LOC4815144,5.808978734,4.299466037,0.740141511
LOC6898642,8.173124306,1.675097081,0.204951964
LOC13036323,38.70225819,14.95697616,0.386462637
LOC4817866,0.015290496,33.47140122,2188.889911
